*[22:52:19 13/12/2021] Failed to load airports, Failed to load Voyages, Failed to load flights, Failed to load planes, Failed to load tickets, 
*[23:01:51 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:03:50 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:04:44 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:05:05 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:05:19 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:05:35 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:07:07 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:07:39 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:08:05 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:08:47 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:12:36 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:27:54 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:28:06 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:46:51 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:47:07 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:57:01 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
*[23:57:11 13/12/2021] Failed to load Airports, Failed to load Voyages, Failed to load flights, Failed to load Planes, Failed to load Tickets, 
